2.460000000000000000e+02,2.690000000000000000e+02
2.510000000000000000e+02,2.520000000000000000e+02
2.550000000000000000e+02,2.280000000000000000e+02
2.620000000000000000e+02,1.980000000000000000e+02
2.740000000000000000e+02,1.720000000000000000e+02
2.800000000000000000e+02,1.610000000000000000e+02
3.030000000000000000e+02,1.280000000000000000e+02
3.190000000000000000e+02,1.080000000000000000e+02
3.280000000000000000e+02,9.100000000000000000e+01
3.320000000000000000e+02,1.210000000000000000e+02
3.480000000000000000e+02,1.540000000000000000e+02
3.540000000000000000e+02,1.660000000000000000e+02
3.700000000000000000e+02,2.080000000000000000e+02
3.830000000000000000e+02,2.330000000000000000e+02
4.020000000000000000e+02,2.690000000000000000e+02
4.080000000000000000e+02,2.780000000000000000e+02
4.170000000000000000e+02,2.830000000000000000e+02
